,Houston House Price Index,Houston Consumer Price Index,Construction Materials Index,WTI Oil Price,Unemployment Rate,Interest Rate,Labor Force,Economic Conditions,Houston Population,Total Permit
1993-01-01,-1.6000000000000085,0.6840000000000117,4.0,-1.1899999999999977,-1.2999999999999998,-0.22000000000000153,-15007.0,1.5100000000000002,-19.090999999998985,-315.137999999999
1994-01-01,-1.7399999999999949,-0.4000000000000057,-0.799999999999983,0.9199999999999982,-0.9000000000000004,2.150000000000002,-7101.0,-1.3000000000000007,-8.00300000000152,1554.0459999999985
1995-01-01,0.0,-2.1169999999999902,-0.4000000000000057,2.460000000000001,-0.09999999999999964,-1.5200000000000022,-3592.0,-1.729999999999999,-3.5719999999982974,-3065.1620000000003
1996-01-01,2.3400000000000034,0.8159999999999741,-4.100000000000023,2.460000000000001,0.39999999999999947,0.33000000000000096,-7311.0,1.0599999999999996,12.795999999998457,2402.0170000000035
1997-01-01,-0.05000000000001137,-0.2319999999999709,1.700000000000017,-5.200000000000003,0.10000000000000053,-0.08999999999999986,32409.0,1.7499999999999996,5.606000000000677,5889.930999999997
1998-01-01,4.150000000000006,-1.3010000000000161,-3.1999999999999886,-4.679999999999998,-0.5,-0.4499999999999993,468.0,-3.6399999999999997,14.081999999999425,6672.149999999998
1999-01-01,1.7900000000000063,0.799999999999983,2.0999999999999943,11.11,1.1999999999999993,1.1599999999999993,-22317.0,-2.1399999999999997,2.2409999999999854,-24613.257999999994
2000-01-01,-0.13000000000002387,3.3840000000000146,-0.10000000000002274,6.119999999999999,-0.9999999999999991,0.11000000000000032,-44576.0,6.08,-14.45799999999872,10463.805999999997
2001-01-01,0.5000000000000284,-1.1669999999999732,-2.599999999999966,-15.439999999999998,0.9999999999999991,-1.6900000000000013,58929.0,-7.050000000000001,16.85699999999906,1643.2089999999953
2002-01-01,-3.0,-3.7830000000000155,2.4999999999999716,4.599999999999998,1.0000000000000009,0.6500000000000012,21914.0,4.03,16.274999999999636,6896.921000000009
2003-01-01,-0.27000000000001023,3.9489999999999554,1.9000000000000057,4.699999999999999,-0.7000000000000002,-0.28000000000000025,-29430.0,1.4100000000000001,-20.493999999998778,-383.0540000000037
2004-01-01,0.15000000000000568,1.33400000000006,11.300000000000011,5.530000000000001,-1.3000000000000007,0.7199999999999998,-21478.0,1.8200000000000003,-3.2220000000015716,-9381.926
2005-01-01,1.5599999999999739,0.3669999999999618,-6.300000000000011,4.700000000000003,0.10000000000000053,0.020000000000000462,22453.0,-0.9600000000000004,4.6030000000018845,6828.8169999999955
2006-01-01,2.170000000000016,-1.4499999999999602,2.5,-5.720000000000006,-0.09999999999999964,0.5099999999999998,27154.0,-0.44999999999999973,75.46899999999823,2521.9730000000054
2007-01-01,-1.3799999999999955,-1.3520000000000323,-7.599999999999994,-3.1199999999999903,-0.20000000000000018,-0.6100000000000003,-23366.0,-3.2700000000000005,-71.73799999999846,-15318.993999999999
2008-01-01,-3.030000000000001,2.4099999999999966,10.200000000000017,21.039999999999992,1.2999999999999998,-0.23999999999999932,22731.0,-2.1499999999999995,17.221999999999753,-10208.556000000004
2009-01-01,-3.7399999999999807,-5.0779999999999745,-20.400000000000034,-65.05,2.3999999999999995,-0.6800000000000006,-3872.0,-1.6799999999999997,13.123999999999796,3111.5910000000003
2010-01-01,-3.3200000000000216,2.8689999999999714,12.500000000000028,55.25,-2.1999999999999984,0.6400000000000006,76472.0,14.219999999999999,-39.24800000000141,14751.77
2011-01-01,-0.5,2.8100000000000023,1.299999999999983,-2.1300000000000097,-1.200000000000002,0.10999999999999943,-67827.0,-5.720000000000001,7.194000000000415,2248.4680000000008
2012-01-01,7.800000000000011,-2.8749999999999716,-1.8999999999999773,-16.22999999999999,-0.6999999999999993,-0.5499999999999998,170.0,-2.3300000000000005,15.251000000001113,8755.761999999999
2013-01-01,6.079999999999984,0.031999999999982265,-1.200000000000017,4.760000000000005,0.6000000000000005,1.1099999999999999,-782.0,-2.1599999999999993,20.047999999999774,-5265.001000000004
2014-01-01,10.030000000000001,2.001000000000033,1.6999999999999886,-8.740000000000009,-0.5,-0.1299999999999999,-13176.0,2.54,21.48199999999997,5381.31700000001
2015-01-01,-3.539999999999992,-5.91900000000004,-6.199999999999989,-39.7,0.7999999999999989,-0.5099999999999998,-41564.0,-5.800000000000001,0.016000000000531145,-18326.915000000008
2016-01-01,-6.789999999999992,3.8499999999999943,1.4000000000000057,39.14000000000001,1.0000000000000009,0.11999999999999966,22269.0,4.2700000000000005,-33.502000000002226,-3962.108
2017-01-01,1.9000000000000057,0.8000000000000114,7.299999999999983,12.879999999999995,-1.0,0.5400000000000005,-4739.0,4.5600000000000005,-39.40599999999813,8585.104000000007
